Age,EdLevel,Employment,WorkExp,YearsCode,DevType,OrgSize,ICorPM,RemoteWork,Industry,Country,CompTotal,LanguageHaveWorkedWith,DatabaseChoice,DatabaseHaveWorkedWith,ConvertedCompYearly,ConvertedCompYearly_w
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,9.0,15.0,Data engineer,"5,000 to 9,999 employees",Individual contributor,Remote,Banking/Financial Services,Ukraine,70000.0,Java;Python;Scala,nan,Cassandra;Databricks SQL;DuckDB;Dynamodb;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;Snowflake;Amazon Redshift,70000.0,70000.0
45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,24.0,26.0,Data engineer,"5,000 to 9,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,United States of America,175000.0,C#;Python;SQL,Yes,Microsoft SQL Server,175000.0,175000.0
45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",31.0,20.0,Data engineer,"Just me - I am a freelancer, sole proprietor, etc.",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Computer Systems Design and Services,France,150000.0,JavaScript;Python;R;SQL;TypeScript;VBA,Yes,MariaDB;Microsoft SQL Server;MySQL,174022.0,174022.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,4.0,10.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Spain,36000.0,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Yes,MySQL;Oracle;PostgreSQL;Clickhouse,41765.0,41765.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,20.0,20.0,Data or business analyst,100 to 499 employees,People manager,"Hybrid (some remote, leans heavy to in-person)",Software Development,Finland,85000.0,HTML/CSS;JavaScript;PHP;Python;R;SQL;TypeScript,Yes,DuckDB;MariaDB;MySQL;Redis;Snowflake;SQLite;Amazon Redshift,98612.0,98612.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",9.0,10.0,Data scientist,"Just me - I am a freelancer, sole proprietor, etc.",Individual contributor,Remote,Software Development,Switzerland,50000.0,C++;HTML/CSS;JavaScript;Python;Rust,Yes,PostgreSQL,61996.0,61996.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,6.0,10.0,Data engineer,20 to 99 employees,Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,United Kingdom of Great Britain and Northern Ireland,67000.0,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;Python;Rust;Scala;SQL,Yes,DuckDB;Dynamodb;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,91215.0,91215.0
25-34 years old,Some college/university study without earning a degree,Employed,8.0,10.0,Data or business analyst,100 to 499 employees,Individual contributor,In-person,Manufacturing,United States of America,60000.0,Python;SQL;VBA,Yes,Microsoft Access,60000.0,60000.0
45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not employed,27.0,42.0,Data or business analyst,nan,nan,nan,nan,United States of America,125000.0,Python;R;SQL,Yes,BigQuery;Microsoft SQL Server,125000.0,125000.0
18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,3.0,3.0,Data engineer,20 to 99 employees,Individual contributor,In-person,Fintech,India,800000.0,C++;Go;Python;Rust,Yes,DuckDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;Clickhouse,9299.0,9299.0
